"namelookup","connect","appconnect","pretransfer","redirect","starttransfer","total"
0.000151, 0.000879, 0.000000, 0.000957, 0.000000, 0.001700, 0.001815
0.000147, 0.000872, 0.000000, 0.000963, 0.000000, 0.001718, 0.001833
0.000148, 0.000854, 0.000000, 0.000946, 0.000000, 0.001700, 0.001816
0.000148, 0.000932, 0.000000, 0.001007, 0.000000, 0.001739, 0.001855
0.000149, 0.000710, 0.000000, 0.000800, 0.000000, 0.001559, 0.001674
0.000151, 0.000824, 0.000000, 0.000916, 0.000000, 0.001669, 0.001785
0.000152, 0.000925, 0.000000, 0.001003, 0.000000, 0.001730, 0.001847
0.000151, 0.000803, 0.000000, 0.000895, 0.000000, 0.001650, 0.001769
0.000150, 0.000869, 0.000000, 0.000960, 0.000000, 0.001719, 0.001832
0.000188, 0.000899, 0.000000, 0.000990, 0.000000, 0.001749, 0.001866
0.000150, 0.000838, 0.000000, 0.000935, 0.000000, 0.001681, 0.001801
0.000152, 0.000887, 0.000000, 0.000981, 0.000000, 0.001725, 0.001870
0.000151, 0.000942, 0.000000, 0.001024, 0.000000, 0.001740, 0.001854
0.000154, 0.000907, 0.000000, 0.000998, 0.000000, 0.001749, 0.001863
0.000150, 0.001048, 0.000000, 0.001139, 0.000000, 0.001892, 0.002008
0.000149, 0.000943, 0.000000, 0.001035, 0.000000, 0.001813, 0.001928
0.000152, 0.000927, 0.000000, 0.001019, 0.000000, 0.001774, 0.001888
0.000151, 0.000834, 0.000000, 0.000923, 0.000000, 0.001678, 0.001791
0.000150, 0.001056, 0.000000, 0.001149, 0.000000, 0.001907, 0.002022
0.000149, 0.000982, 0.000000, 0.001072, 0.000000, 0.001795, 0.001918
0.000151, 0.000878, 0.000000, 0.000967, 0.000000, 0.001724, 0.001839
0.000152, 0.000827, 0.000000, 0.000918, 0.000000, 0.001675, 0.001788
0.000150, 0.000865, 0.000000, 0.000955, 0.000000, 0.001706, 0.001823
