"namelookup","connect","appconnect","pretransfer","redirect","starttransfer","total"
0.000150, 0.002841, 0.000000, 0.002935, 0.000000, 0.445288, 0.445425
0.000147, 0.000974, 0.000000, 0.001063, 0.000000, 0.001821, 0.001940
0.000154, 0.000861, 0.000000, 0.000953, 0.000000, 0.001701, 0.001817
0.000152, 0.000899, 0.000000, 0.000990, 0.000000, 0.001382, 0.001495
0.000152, 0.000844, 0.000000, 0.000966, 0.000000, 0.001699, 0.001837
0.000151, 0.000844, 0.000000, 0.000936, 0.000000, 0.001689, 0.001804
0.000149, 0.000713, 0.000000, 0.000807, 0.000000, 0.001556, 0.001673
0.000148, 0.000707, 0.000000, 0.000797, 0.000000, 0.001553, 0.001667
0.000152, 0.000869, 0.000000, 0.000961, 0.000000, 0.001839, 0.001953
0.000151, 0.000792, 0.000000, 0.000882, 0.000000, 0.001636, 0.001752
0.000150, 0.000850, 0.000000, 0.000945, 0.000000, 0.001692, 0.001809
0.000148, 0.000777, 0.000000, 0.000865, 0.000000, 0.001624, 0.001740
0.000150, 0.000841, 0.000000, 0.000937, 0.000000, 0.001681, 0.001803
0.000148, 0.000806, 0.000000, 0.000896, 0.000000, 0.001653, 0.001766
0.000150, 0.000857, 0.000000, 0.000949, 0.000000, 0.001723, 0.001862
0.000209, 0.000889, 0.000000, 0.000988, 0.000000, 0.001799, 0.001924
0.000151, 0.000808, 0.000000, 0.000907, 0.000000, 0.001924, 0.002051
0.000149, 0.000828, 0.000000, 0.000918, 0.000000, 0.001678, 0.001794
0.000151, 0.000819, 0.000000, 0.000913, 0.000000, 0.001664, 0.001777
0.000147, 0.001085, 0.000000, 0.001178, 0.000000, 0.001933, 0.002046
0.000152, 0.000842, 0.000000, 0.000963, 0.000000, 0.001689, 0.001810
0.000149, 0.000770, 0.000000, 0.000862, 0.000000, 0.001613, 0.001731
0.000152, 0.000763, 0.000000, 0.000853, 0.000000, 0.001610, 0.001725
