"namelookup","connect","appconnect","pretransfer","redirect","starttransfer","total"
0.000151, 0.000919, 0.000000, 0.001010, 0.000000, 0.001763, 0.001880
0.000185, 0.000901, 0.000000, 0.000993, 0.000000, 0.001764, 0.001900
0.000202, 0.001036, 0.000000, 0.001165, 0.000000, 0.002049, 0.002189
0.000151, 0.000795, 0.000000, 0.000888, 0.000000, 0.001669, 0.001786
0.000150, 0.000823, 0.000000, 0.000903, 0.000000, 0.001626, 0.001740
0.000151, 0.000897, 0.000000, 0.000989, 0.000000, 0.001743, 0.001858
0.000152, 0.000852, 0.000000, 0.000930, 0.000000, 0.001658, 0.001775
0.000151, 0.000836, 0.000000, 0.000926, 0.000000, 0.001717, 0.001829
0.000152, 0.000817, 0.000000, 0.000911, 0.000000, 0.001665, 0.001780
0.000151, 0.000839, 0.000000, 0.000932, 0.000000, 0.001687, 0.001801
0.000148, 0.001004, 0.000000, 0.001121, 0.000000, 0.001866, 0.001990
0.000151, 0.000725, 0.000000, 0.000816, 0.000000, 0.001570, 0.001681
0.000183, 0.000897, 0.000000, 0.000986, 0.000000, 0.001717, 0.001843
0.000151, 0.000944, 0.000000, 0.001035, 0.000000, 0.001709, 0.001827
0.000150, 0.004724, 0.000000, 0.004825, 0.000000, 0.006722, 0.006841
0.000194, 0.000905, 0.000000, 0.001001, 0.000000, 0.001785, 0.001954
0.000152, 0.000760, 0.000000, 0.000853, 0.000000, 0.001607, 0.001722
0.000156, 0.000850, 0.000000, 0.000945, 0.000000, 0.001691, 0.001805
0.000230, 0.000885, 0.000000, 0.000982, 0.000000, 0.001797, 0.001937
0.000149, 0.000661, 0.000000, 0.000751, 0.000000, 0.001759, 0.001871
0.000152, 0.000913, 0.000000, 0.001004, 0.000000, 0.001757, 0.001869
0.000226, 0.001036, 0.000000, 0.001126, 0.000000, 0.001884, 0.001998
0.000150, 0.000815, 0.000000, 0.000909, 0.000000, 0.001666, 0.001781
0.000152, 0.000790, 0.000000, 0.000887, 0.000000, 0.001754, 0.001870
0.000150, 0.000763, 0.000000, 0.000855, 0.000000, 0.001610, 0.001732
0.000150, 0.000825, 0.000000, 0.000917, 0.000000, 0.001670, 0.001828
0.000151, 0.000844, 0.000000, 0.000938, 0.000000, 0.001686, 0.001808
0.000196, 0.000865, 0.000000, 0.000956, 0.000000, 0.001715, 0.001827
0.000155, 0.000909, 0.000000, 0.001002, 0.000000, 0.001762, 0.001878
0.000151, 0.000654, 0.000000, 0.000750, 0.000000, 0.001496, 0.001612
0.000189, 0.000926, 0.000000, 0.001036, 0.000000, 0.001828, 0.001958
0.000175, 0.000880, 0.000000, 0.000967, 0.000000, 0.001699, 0.001819
0.000149, 0.000858, 0.000000, 0.000948, 0.000000, 0.001713, 0.001829
0.000149, 0.000734, 0.000000, 0.000827, 0.000000, 0.001584, 0.001700
0.000149, 0.000856, 0.000000, 0.000948, 0.000000, 0.001707, 0.001822
0.000150, 0.000783, 0.000000, 0.000877, 0.000000, 0.001630, 0.001745
0.000148, 0.000784, 0.000000, 0.000876, 0.000000, 0.001627, 0.001740
0.000148, 0.000894, 0.000000, 0.000989, 0.000000, 0.001734, 0.001854
0.000152, 0.000845, 0.000000, 0.000938, 0.000000, 0.001694, 0.001811
0.000150, 0.000771, 0.000000, 0.000862, 0.000000, 0.001612, 0.001726
0.000192, 0.000809, 0.000000, 0.000898, 0.000000, 0.001657, 0.001770
0.000150, 0.000872, 0.000000, 0.000963, 0.000000, 0.001759, 0.001871
0.000148, 0.000731, 0.000000, 0.000822, 0.000000, 0.001577, 0.001692
0.000152, 0.000848, 0.000000, 0.000938, 0.000000, 0.001695, 0.001810
0.000151, 0.000789, 0.000000, 0.000881, 0.000000, 0.001638, 0.001753
0.000154, 0.000841, 0.000000, 0.000936, 0.000000, 0.002020, 0.002152
0.000148, 0.000787, 0.000000, 0.000877, 0.000000, 0.001634, 0.001747
0.000147, 0.000811, 0.000000, 0.000904, 0.000000, 0.001656, 0.001772
0.000151, 0.000875, 0.000000, 0.000967, 0.000000, 0.001719, 0.001830
0.000154, 0.000769, 0.000000, 0.000862, 0.000000, 0.001610, 0.001723
0.000149, 0.000941, 0.000000, 0.001032, 0.000000, 0.001793, 0.001907
0.000153, 0.000835, 0.000000, 0.000925, 0.000000, 0.001678, 0.001792
0.000147, 0.000730, 0.000000, 0.000820, 0.000000, 0.001581, 0.001693
0.000152, 0.001013, 0.000000, 0.001107, 0.000000, 0.001889, 0.002010
0.000151, 0.000910, 0.000000, 0.001002, 0.000000, 0.001763, 0.001877
0.000149, 0.000772, 0.000000, 0.000863, 0.000000, 0.001614, 0.001767
0.000148, 0.000913, 0.000000, 0.001005, 0.000000, 0.001757, 0.001871
0.000151, 0.000851, 0.000000, 0.000946, 0.000000, 0.001690, 0.001806
0.000148, 0.000832, 0.000000, 0.000928, 0.000000, 0.001673, 0.001788
0.000154, 0.000893, 0.000000, 0.000987, 0.000000, 0.001740, 0.001856
0.000149, 0.000955, 0.000000, 0.001031, 0.000000, 0.001760, 0.001876
0.000149, 0.000880, 0.000000, 0.000976, 0.000000, 0.001720, 0.001837
0.000152, 0.000770, 0.000000, 0.000865, 0.000000, 0.001609, 0.001725
0.000148, 0.000711, 0.000000, 0.000801, 0.000000, 0.001558, 0.001674
0.000149, 0.000862, 0.000000, 0.000953, 0.000000, 0.001704, 0.001820
0.000153, 0.000874, 0.000000, 0.000968, 0.000000, 0.001719, 0.001836
0.000150, 0.000794, 0.000000, 0.000888, 0.000000, 0.001636, 0.001752
0.000147, 0.000767, 0.000000, 0.000858, 0.000000, 0.001610, 0.001726
0.000150, 0.000833, 0.000000, 0.000921, 0.000000, 0.001712, 0.001827
0.000149, 0.000728, 0.000000, 0.000821, 0.000000, 0.001565, 0.001680
0.000151, 0.000888, 0.000000, 0.000978, 0.000000, 0.001812, 0.001950
0.000149, 0.000810, 0.000000, 0.000904, 0.000000, 0.001656, 0.001772
0.000150, 0.000873, 0.000000, 0.000965, 0.000000, 0.001728, 0.001842
0.000151, 0.000821, 0.000000, 0.000912, 0.000000, 0.001669, 0.001786
0.000149, 0.000806, 0.000000, 0.000886, 0.000000, 0.001661, 0.001777
0.000150, 0.000730, 0.000000, 0.000818, 0.000000, 0.001576, 0.001691
0.000214, 0.000963, 0.000000, 0.001061, 0.000000, 0.001737, 0.001861
0.000150, 0.000726, 0.000000, 0.000816, 0.000000, 0.001574, 0.001687
0.000172, 0.000982, 0.000000, 0.001074, 0.000000, 0.001823, 0.001939
0.000148, 0.000854, 0.000000, 0.000931, 0.000000, 0.001639, 0.001757
0.000151, 0.000770, 0.000000, 0.000860, 0.000000, 0.001613, 0.001726
0.000149, 0.000908, 0.000000, 0.000999, 0.000000, 0.001749, 0.001864
0.000153, 0.000933, 0.000000, 0.001020, 0.000000, 0.001964, 0.002078
0.000194, 0.000768, 0.000000, 0.000859, 0.000000, 0.001617, 0.001731
0.000151, 0.000780, 0.000000, 0.000871, 0.000000, 0.001620, 0.001733
0.000149, 0.000741, 0.000000, 0.000838, 0.000000, 0.001587, 0.001705
0.000151, 0.000866, 0.000000, 0.000958, 0.000000, 0.001711, 0.001825
0.000160, 0.000801, 0.000000, 0.000894, 0.000000, 0.001645, 0.001763
0.000189, 0.000949, 0.000000, 0.001081, 0.000000, 0.001876, 0.002040
