"namelookup","connect","appconnect","pretransfer","redirect","starttransfer","total"
0.012809, 0.041101, 0.000000, 0.041214, 0.000000, 0.168612, 0.170476
0.012792, 0.040054, 0.000000, 0.040179, 0.000000, 0.274920, 0.275546
0.012988, 0.041005, 0.000000, 0.041132, 0.000000, 0.189787, 0.190578
0.012757, 0.039445, 0.000000, 0.039565, 0.000000, 0.158173, 0.158928
0.012468, 0.040558, 0.000000, 0.040685, 0.000000, 0.135264, 0.136474
0.012725, 0.039892, 0.000000, 0.040003, 0.000000, 0.210280, 0.211016
0.012470, 0.040334, 0.000000, 0.040459, 0.000000, 0.172561, 0.173173
0.012464, 0.039792, 0.000000, 0.039917, 0.000000, 0.124494, 0.125346
0.012739, 0.040724, 0.000000, 0.040851, 0.000000, 0.199185, 0.199938
0.013386, 0.041295, 0.000000, 0.041431, 0.000000, 0.193778, 0.197457
0.012889, 0.040226, 0.000000, 0.040365, 0.000000, 0.278863, 0.279787
0.012976, 0.041497, 0.000000, 0.041625, 0.000000, 0.280640, 0.281262
0.012581, 0.039868, 0.000000, 0.039995, 0.000000, 0.172150, 0.173067
0.012773, 0.040344, 0.000000, 0.040472, 0.000000, 0.175558, 0.176170
0.012815, 0.041240, 0.000000, 0.041387, 0.000000, 0.129581, 0.130331
0.012761, 0.040609, 0.000000, 0.040712, 0.000000, 0.215909, 0.219849
0.012473, 0.040052, 0.000000, 0.040177, 0.000000, 0.229979, 0.230734
0.012474, 0.040186, 0.000000, 0.040312, 0.000000, 0.127435, 0.128041
0.013343, 0.041016, 0.000000, 0.041142, 0.000000, 0.133137, 0.133556
0.012460, 0.040873, 0.000000, 0.040999, 0.000000, 0.138660, 0.139427
0.012469, 0.039926, 0.000000, 0.040050, 0.000000, 0.237629, 0.238254
0.012527, 0.040059, 0.000000, 0.040175, 0.000000, 0.171822, 0.172756
0.012535, 0.040812, 0.000000, 0.040945, 0.000000, 0.170681, 0.171293
