"namelookup","connect","appconnect","pretransfer","redirect","starttransfer","total"
0.000151, 0.000824, 0.000000, 0.000917, 0.000000, 0.001673, 0.001789
0.000152, 0.000838, 0.000000, 0.000928, 0.000000, 0.001449, 0.001562
0.000151, 0.000772, 0.000000, 0.000866, 0.000000, 0.001616, 0.001730
0.000149, 0.001131, 0.000000, 0.001224, 0.000000, 0.001981, 0.002095
0.000151, 0.000898, 0.000000, 0.000990, 0.000000, 0.001743, 0.001858
0.000150, 0.000754, 0.000000, 0.000838, 0.000000, 0.001613, 0.001732
0.000150, 0.000895, 0.000000, 0.000992, 0.000000, 0.001735, 0.001850
0.000152, 0.000819, 0.000000, 0.000895, 0.000000, 0.001634, 0.001750
0.000148, 0.000801, 0.000000, 0.000896, 0.000000, 0.001645, 0.001762
0.000150, 0.000788, 0.000000, 0.000882, 0.000000, 0.001628, 0.001743
0.000175, 0.000954, 0.000000, 0.001057, 0.000000, 0.001439, 0.001570
0.000152, 0.000935, 0.000000, 0.001056, 0.000000, 0.002871, 0.002996
0.000149, 0.000887, 0.000000, 0.000982, 0.000000, 0.001374, 0.001489
0.000152, 0.000738, 0.000000, 0.000831, 0.000000, 0.001349, 0.001464
0.000150, 0.000954, 0.000000, 0.001049, 0.000000, 0.001804, 0.001920
0.000152, 0.000977, 0.000000, 0.001067, 0.000000, 0.001824, 0.001940
0.000155, 0.000779, 0.000000, 0.000872, 0.000000, 0.001628, 0.001746
0.000149, 0.000777, 0.000000, 0.000868, 0.000000, 0.001620, 0.001735
0.000181, 0.000974, 0.000000, 0.001087, 0.000000, 0.001849, 0.001986
0.000180, 0.001059, 0.000000, 0.001171, 0.000000, 0.001957, 0.002118
0.000149, 0.000766, 0.000000, 0.000859, 0.000000, 0.001611, 0.001728
0.000149, 0.000845, 0.000000, 0.000938, 0.000000, 0.001699, 0.001814
0.000148, 0.000828, 0.000000, 0.000918, 0.000000, 0.001674, 0.001788
